site_id,site_name
10676,MP-SS-2074
5211,CO-SS-9415
5093,CO-LS-9432
10541,MN-LS-1018
10683,MP-SS-2086
10578,MN-SS-1146
28382,XS-SS-6132
28299,XN-LS-4021
28323,XN-SS-4120
10540,MN-LS-1017
10572,MN-SS-1137
10568,MN-SS-1125
28276,XE-SS-5140
11275,MS-SS-3100
28290,XN-LS-4010
13575,OT-SS-7150
11285,MS-SS-3114
5097,CO-LS-9452
28302,XN-LS-4028
28300,XN-LS-4026
28365,XS-SS-6095
28333,XN-SS-4163
28293,XN-LS-4014
13576,OT-SS-7153
13555,OT-RO-7091
13566,OT-SS-7116
13562,OT-SS-7109
28329,XN-SS-4143
11248,MS-LS-3005
10545,MN-LS-1022
5088,CO-LS-9421
10558,MN-SS-1097
28282,XE-SS-5154
13567,OT-SS-7122
10561,MN-SS-1105
10538,MN-LS-1014
10702,MP-SS-2113
10557,MN-RO-1086
10694,MP-SS-2102
5217,CO-SS-9440
28328,XN-SS-4136
13565,OT-SS-7115
11290,MS-SS-3127
13568,OT-SS-7128
28335,XN-SS-4165
11251,MS-LS-3009
11276,MS-SS-3101
11247,MS-LS-3003
10684,MP-SS-2087
13572,OT-SS-7140
28269,XE-SS-5106
10681,MP-SS-2082
5094,CO-LS-9442
10699,MP-SS-2108
10697,MP-SS-2106
28334,XN-SS-4164
10695,MP-SS-2103
10686,MP-SS-2090
11293,MS-SS-3132
8476,GS-RO-9007
5096,CO-LS-9448
28203,XE-LS-5025
28353,XS-LS-6040
10703,MP-SS-2114
28207,XE-LS-5031
12378,NW-SS-9267
28199,XE-LS-5018
10552,MN-RO-1081
10556,MN-RO-1085
8475,GS-RO-9003
5180,CO-RO-9402
5182,CO-RO-9406
12374,NW-SS-9261
11585,NB-LS-9111
11591,NB-SS-9107
5188,CO-RO-9422
11589,NB-RO-9127
11594,NB-SS-9120
12372,NW-LS-9269
12373,NW-LS-9276
12465,NY-LS-9230
12467,NY-RO-9221
5209,CO-SS-9403
12192,NO-LS-9203
12210,NO-RO-9205
12464,NY-LS-9225
12463,NY-LS-9220
12220,NO-SS-9211
12466,NY-LS-9232
11593,NB-SS-9115
12217,NO-SS-9202
12193,NO-LS-9206
12469,NY-SS-9222
12375,NW-SS-9262
11592,NB-SS-9108
11590,NB-SS-9101
12209,NO-RO-9200
12380,NW-SS-9272
11587,NB-LS-9119
5089,CO-LS-9423
12218,NO-SS-9204
11586,NB-LS-9114
11606,NC-LS-9186
11613,NC-SS-9167
11609,NC-SS-9144
12377,NW-SS-9264
5216,CO-SS-9439
12376,NW-SS-9263
11588,NB-LS-9132
5183,CO-RO-9409
907,2890
5218,CO-SS-9441
18644,SFREF1
5215,CO-SS-9430
5085,CO-LS-9407
5189,CO-RO-9431
5181,CO-RO-9405
5086,CO-LS-9410
8485,GS-SS-9020
8466,GS-LS-9009
8469,GS-LS-9025
8480,GS-RO-9017
8474,GS-RO-9001
8483,GS-SS-9006
8487,GS-SS-9024
8484,GS-SS-9012
18567,SF3.0
5092,CO-LS-9429
8481,GS-SS-9004
8471,GS-LS-9027
8477,GS-RO-9008
6814,EL-SS-8144
6816,EL-SS-8160
20969,TP-SS-8267
5084,CO-LS-9400
6815,EL-SS-8156
6817,EL-SS-8172
20968,TP-SS-8252
8467,GS-LS-9010
8470,GS-LS-9026
20970,TP-SS-8273
8482,GS-SS-9005
8478,GS-RO-9013
8479,GS-RO-9014
8468,GS-LS-9016
8472,GS-LS-9032
20971,TP-SS-8290
5186,CO-RO-9416
13553,OT-RM-7083
8486,GS-SS-9022
13558,OT-RO-7095
13539,OT-LS-7012
13571,OT-SS-7133
13545,OT-LS-7024
10551,MN-RM-1073
10554,MN-RO-1083
28257,XE-RM-5072
5091,CO-LS-9427
11268,MS-RM-3074
11266,MS-RM-3072
11265,MS-RM-3071
11271,MS-RO-3087
11267,MS-RM-3073
11269,MS-RM-3075
28306,XN-RM-4072
10550,MN-RM-1072
10549,MN-RM-1071
5095,CO-LS-9445
8473,GS-LS-9036
10657,MP-LS-2005
10670,MP-RO-2057
10671,MP-RO-2060
10669,MP-RM-2052
28259,XE-RM-5074
11259,MS-LS-3023
28358,XS-RM-6072
28193,XE-LS-5007
28200,XE-LS-5019
10693,MP-SS-2100
10700,MP-SS-2110
16648,PNTH
11262,MS-LS-3027
11605,NC-LS-9156
11614,NC-SS-9170
6768,ELKE
20303,SR-SS-1019
11780,NFHC-4
8577,HCH-1
928,3
7668,FR-TR-005
6726,efp2
10491,MillCrS03-13
7670,FR-TR-007
20304,SR-SS-1021
7513,FI-LS-14257
358,1
6725,efp1
7639,FR-abvGSD
6727,efp3
559,2
10440,MIDCRMID
11565,MXR-downstream
7675,FR-TR-013
7676,FR-TR-014
7506,FiCr00-11
7677,FR-TR-015
5168,COR-KBDitc
5169,COR-KidPond
5163,COR-abvHSR
5165,COR-blwWG
7640,FR-abvWPSD
10077,M1.2
17779,RC-blwMC
28312,XN-RO-4085
28313,XN-RO-4086
28362,XS-RO-6083
28364,XS-RO-6087
10678,MP-SS-2078
761,2017WAMCR9024
17781,RC-CR8315
7673,FR-TR-010
762,2017WAMCR9035
7645,FR-CR83
7667,FR-TR-004
7661,FR-Rendezvous
7638,FR-abvFrCan
11798,NFNCr-FPS01-14
5190,CO-RO-9433
13552,OT-RM-7082
5192,CO-RO-9436
11272,MS-RO-3089
28260,XE-RO-5081
28263,XE-RO-5085
7664,FR-TR-001
7665,FR-TR-002
7666,FR-TR-003
763,2017WAMCR9038
7669,FR-TR-006
7671,FR-TR-008
7672,FR-TR-009
7678,FR-TR-016
12384,NW-TR-001
764,2017WAMCR9051
7674,FR-TR-012
765,2017WAUGN9021
12385,NW-TR-002
2175,9127000
12386,NW-TR-003
5214,CO-SS-9426
2174,9125000
750,2017ORHIL1004
751,2017ORILL9017
752,2017ORKIN1022
753,2017ORKIN9043
5212,CO-SS-9419
754,2017ORMCM1001
755,2017ORMCM1013
10179,MB-LS-10770
756,2017ORMCM1016
757,2017ORMCM1040
10180,MB-LS-11789
8282,GR-TR-1044
10182,MB-LS-12493
10202,MB-SS-10002
10184,MB-LS-14866
10204,MB-SS-1201
10206,MB-SS-1209
10213,MB-SS-13069
10214,MB-SS-13517
11309,MT-LS-10290
17178,PR-SS-13036
11310,MT-LS-11237
11327,MT-SS-10098
17179,PR-SS-13372
11313,MT-LS-17202
24148,VE-SS-15337
6306,CY-TR-1028
28202,XE-LS-5023
925,2MILE_CRK
11328,MT-SS-13874
11329,MT-SS-14194
6308,CY-TR-1221
758,2017WALBL9003
759,2017WALBL9011
760,2017WALBL9013
24175,VisitorCtr
3830,BVR_CRK
6373,DEER_CRK
8283,GR-TR-1205
18370,SA-TR-1226
8284,GR-TR-1421
8285,GR-TR-1492
24150,VE-SS-19433
24151,VE-SS-21037
28258,XE-RM-5073
17100,PR-LS-13628
20296,SR-LS-1014
17104,PR-LS-14012
17130,PR-RV-10300
17132,PR-RV-10492
17139,PR-RV-10940
17145,PR-RV-12988
17148,PR-RV-13180
17149,PR-RV-13388
17150,PR-RV-13644
17151,PR-RV-13756
17152,PR-RV-13820
17153,PR-RV-13900
17154,PR-RV-13948
24115,VE-LS-14685
24117,VE-LS-15565
24135,VE-RV-10797
24139,VE-RV-12189
24140,VE-RV-12381
24141,VE-RV-12637
24142,VE-RV-13149
24143,VE-RV-13213
7514,FI-LS-26545
7522,FI-RV-21516
7543,FI-SS-15857
7544,FI-SS-16625
7545,FI-SS-17649
19611,SL-LS-20561
19612,SL-LS-22225
19613,SL-LS-22332
19616,SL-RV-49980
19624,SL-SS-15137
19625,SL-SS-15825
19626,SL-SS-16161
19628,SL-SS-16465
19629,SL-SS-17132
19630,SL-SS-17489
19631,SL-SS-18188
24214,W3012
24215,W303O2
24216,W308O2
18372,SA-TR-1334
26134,WD-TR-1027
26137,WD-TR-1214
26142,WD-TR-1359
19627,SL-SS-16353
19588,Slate Creek
5431,Crescent Creek Upper
18360,SA-SS-14538
5430,Crescent Creek Middle
5429,Crescent Creek Lower
3788,Bull Creek
18351,SA-SS-13178
10084,M7.9
10082,M3.1
28914,M3.0
10080,M2.0
18566,SF1.0
18240,SA-LS-13578
18241,SA-LS-13770
18242,SA-LS-14026
18243,SA-LS-14070
18352,SA-SS-13258
18353,SA-SS-13322
18244,SA-LS-14602
18349,SA-SS-12602
18350,SA-SS-12746
18361,SA-SS-14650
18354,SA-SS-13434
18355,SA-SS-13626
18356,SA-SS-13690
18357,SA-SS-13882
18358,SA-SS-14110
18359,SA-SS-14458
10128,MainELK
21427,UpPanth
6780,ELKW
21417,UpELKE
1591,4939117
1596,4939122
1621,4939147
1582,4939108
1594,4939119
1614,4939140
1275,4904917
1956,4995953
1703,4949635
1674,4947792
1579,4939105
1827,4958883
1597,4939123
1586,4939112
1576,4939102
1782,4954939
1589,4939115
1607,4939133
1532,4936173
