"","sampleId.x","taxonomyId","scientificName.x","levelId.x","levelName.x","splitCount.x","sampleId.y","scientificName.y","levelId.y","levelName.y","splitCount.y","sampleId","scientificName","attributeId","attributeName","attributeValue"
"58",115217,1297,"Microtendipes",23,"Genus",3,115217,"Chironominae",20,"SubFamily",3,115217,"Microtendipes",3,"FFG","CF"
"59",115217,1301,"Polypedilum",23,"Genus",2,115217,"Chironominae",20,"SubFamily",2,115217,"Polypedilum",3,"FFG","SH"
"60",115217,1667,"Rhyacophila brunnea group",25,"Species",1,NA,NA,NA,NA,NA,115217,"Rhyacophila brunnea group",3,"FFG","PR"
"61",115217,1668,"Rhyacophila betteni group",25,"Species",14,115217,"Rhyacophila_betteni_group",25,"Species",14,115217,"Rhyacophila betteni group",3,"FFG","PR"
"62",115217,1669,"Cricotopus/Orthocladius",21,"Tribe",1,115217,"Orthocladiinae",20,"SubFamily",1,115217,"Cricotopus/Orthocladius",3,"FFG","CG"
"63",115217,1670,"Eukiefferiella",23,"Genus",34,115217,"Orthocladiinae",20,"SubFamily",34,115217,"Eukiefferiella",3,"FFG","CG"
"64",115217,1672,"Micropsectra",23,"Genus",44,115217,"Chironominae",20,"SubFamily",44,115217,"Micropsectra",3,"FFG","CG"
"65",115217,1674,"Tvetenia",23,"Genus",17,115217,"Orthocladiinae",20,"SubFamily",17,115217,"Tvetenia",3,"FFG","CG"
"66",115217,1675,"Chironomini",21,"Tribe",1,115217,"Chironominae",20,"SubFamily",1,NA,NA,NA,NA,NA
"67",115217,1708,"Rhyacophila hyalinata group",25,"Species",4,115217,"Rhyacophila_hyalinata_group",25,"Species",4,NA,NA,NA,NA,NA
