"","sampleId","groupId","groupName","metricId","metricName","metricValue"
"11",115217,4,"Dominance Metrics",30,"Abundance of Dominant Taxa","59.1398"
"12",115217,4,"Dominance Metrics",27,"Dominant Family","Chironomidae"
"13",115217,5,"Tolerance Indices",32,"# of Intolerant Taxa","12"
"14",115217,5,"Tolerance Indices",33,"Intolerant Taxa abundance","176.075"
"15",115217,5,"Tolerance Indices",34,"# of Tolerant Taxa","0"
"16",115217,5,"Tolerance Indices",35,"Tolerant Taxa abundance","0"
"17",115217,5,"Tolerance Indices",31,"Hilsenhoff Biotic Index","3.70666664211433"
"18",115217,6,"Functional Feeding Groups",38,"Shredder Abundance","26.8817"
"19",115217,6,"Functional Feeding Groups",39,"# of scraper taxa","3"
"20",115217,6,"Functional Feeding Groups",40,"Scraper abundance","84.6774"
"21",115217,6,"Functional Feeding Groups",41,"# of collector-filterer taxa","4"
"22",115217,6,"Functional Feeding Groups",42,"Collector-filterer abundance","71.2366"
"23",115217,6,"Functional Feeding Groups",43,"# of collector-gatherer taxa","11"
"24",115217,6,"Functional Feeding Groups",44,"Collector-gatherer abundance","294.355"
"25",115217,6,"Functional Feeding Groups",45,"# of predator taxa","11"
"26",115217,6,"Functional Feeding Groups",46,"Predator abundance","107.527"
"27",115217,6,"Functional Feeding Groups",37,"# of shredder taxa","5"
"28",115217,7,"Functional Traits",48,"# of Long-lived Taxa","7"
"29",115217,7,"Functional Traits",47,"# of clinger taxa","21"
"30",115217,8,"Compositional Metrics",50,"Ephemeroptera abundance","211.021"
"31",115217,8,"Compositional Metrics",51,"# of Plecoptera taxa","7"
"32",115217,8,"Compositional Metrics",52,"Plecoptera abundance","67.2043"
"33",115217,8,"Compositional Metrics",53,"# of Trichoptera taxa","11"
"34",115217,8,"Compositional Metrics",54,"Trichoptera abundance","80.6452"
"35",115217,8,"Compositional Metrics",55,"# of Coleoptera taxa","2"
"36",115217,8,"Compositional Metrics",56,"Coleoptera abundance","32.2581"
"37",115217,8,"Compositional Metrics",57,"# of Elmidae taxa","2"
"38",115217,8,"Compositional Metrics",58,"Elmidae abundance","32.2581"
"39",115217,8,"Compositional Metrics",59,"# of Megaloptera taxa","1"
"40",115217,8,"Compositional Metrics",60,"Megaloptera abundance","5.37634"
"41",115217,8,"Compositional Metrics",61,"# of Diptera taxa","7"
"42",115217,8,"Compositional Metrics",62,"Diptera abundance","224.462"
"43",115217,8,"Compositional Metrics",63,"# of Chironomidae taxa","4"
"44",115217,8,"Compositional Metrics",64,"Chironomidae abundance","192.204"
"45",115217,8,"Compositional Metrics",65,"# of Crustacea taxa","0"
"46",115217,8,"Compositional Metrics",66,"Crustacea abundance","0"
"47",115217,8,"Compositional Metrics",67,"# of Oligochaete taxa","0"
"48",115217,8,"Compositional Metrics",68,"Oligochaete abundance","0"
"49",115217,8,"Compositional Metrics",69,"# of Mollusca taxa","0"
"50",115217,8,"Compositional Metrics",70,"Mollusca abundance","0"
"51",115217,8,"Compositional Metrics",71,"# of Insect taxa","35"
"52",115217,8,"Compositional Metrics",72,"Insect abundance","620.968"
"53",115217,8,"Compositional Metrics",73,"# of non-insect taxa","3"
"54",115217,8,"Compositional Metrics",74,"Non-insect abundance","14.785"
"55",115217,8,"Compositional Metrics",49,"# of Ephemeroptera taxa","7"
